,index,Filename,Style,Theme,Time,Train,Weight
32091,32091,sm3dw_sky_day\sibl3_fJTds_10_0150.jpg,sm3dw,sky,day,False,1.0
15021,15021,smb1_ice_night\zXXtMhjoOCU_5_0645.jpg,smb1,ice,night,True,0.8370604270092479
19494,19494,sm3dw_ice_day\h082aQwtlR4_7_0062.jpg,sm3dw,ice,day,True,0.47553028005024095
28933,28933,smw_underground_day\Ejn1M5ai_iI_5_0003.jpg,smw,underground,day,False,1.0
25252,25252,nsmb_airship_day\sibl3_fJTds_22_0076.jpg,nsmb,airship,day,True,2.0245941933802953
23795,23795,smb3_airship_night\bCG_Ex7g9nE_10_0404.jpg,smb3,airship,night,True,1.2007242129203555
13470,13470,nsmb_ghosthouse_night\zXXtMhjoOCU_1_0205.jpg,nsmb,ghosthouse,night,True,1.6431664540614124
32612,32612,sm3dw_castle_day\asAgPrbyePY_2_0094.jpg,sm3dw,castle,day,False,1.0
12424,12424,sm3dw_underground_day\uSdL2GGk7cY_1_0010.jpg,sm3dw,underground,day,True,0.6813971040761194
15727,15727,smb1_underwater_day\ZtVdrcXYDzQ_12_0691.jpg,smb1,underwater,day,True,0.7414995901944197
1496,1496,nsmb_castle_day\ZtVdrcXYDzQ_14_0117.jpg,nsmb,castle,day,True,1.648249661736454
24986,24986,smb1_ghosthouse_night\jI023XwCR04_10_0590.jpg,smb1,ghosthouse,night,True,1.4568652323540725
13841,13841,nsmb_castle_day\sibl3_fJTds_5_0060.jpg,nsmb,castle,day,True,1.648249661736454
1752,1752,menu\asAgPrbyePY_9_0223.jpg,menu,,,True,1.3228280864947417
15467,15467,smb1_underwater_day\ZtVdrcXYDzQ_12_0431.jpg,smb1,underwater,day,True,0.7414995901944197
27179,27179,menu\uSdL2GGk7cY_4_0055.jpg,menu,,,True,1.3228280864947417
12611,12611,smw_sky_day\zXXtMhjoOCU_3_0153.jpg,smw,sky,day,True,0.6208494030072771
27192,27192,menu\uSdL2GGk7cY_4_0068.jpg,menu,,,True,1.3228280864947417
4072,4072,sm3dw_grass_day\bCG_Ex7g9nE_1_0014.jpg,sm3dw,grass,day,True,0.4352893275588893
15112,15112,smb1_underwater_day\ZtVdrcXYDzQ_12_0076.jpg,smb1,underwater,day,True,0.7414995901944197
1600,1600,menu\asAgPrbyePY_9_0071.jpg,menu,,,True,1.3228280864947417
878,878,nsmb_airship_night\sibl3_fJTds_23_0246.jpg,nsmb,airship,night,True,1.4151789353834578
11307,11307,smb3_ghosthouse_day\QmVPmh10FVE_1_0020.jpg,smb3,ghosthouse,day,True,1.9945278471591064
20563,20563,sm3dw_sky_day\QmVPmh10FVE_7_0070.jpg,sm3dw,sky,day,True,0.4971229862651126
26633,26633,smb3_jungle_day\-mXxAMAA6-Y_0_0026.jpg,smb3,jungle,day,True,1.6899972093628004
27194,27194,menu\uSdL2GGk7cY_4_0070.jpg,menu,,,True,1.3228280864947417
7278,7278,smb3_jungle_day\jI023XwCR04_5_0138.jpg,smb3,jungle,day,True,1.6899972093628004
19440,19440,sm3dw_ice_day\h082aQwtlR4_7_0008.jpg,sm3dw,ice,day,True,0.47553028005024095
19560,19560,sm3dw_ice_day\h082aQwtlR4_7_0128.jpg,sm3dw,ice,day,True,0.47553028005024095
35060,35060,smb3_desert_night\-mXxAMAA6-Y_8_0020.jpg,smb3,desert,night,False,1.0
33656,33656,sm3dw_ghosthouse_day\QmVPmh10FVE_0_0059.jpg,sm3dw,ghosthouse,day,False,1.0
20729,20729,sm3dw_underground_day\8y54Wlsyte8_14_0126.jpg,sm3dw,underground,day,True,0.6813971040761194
29687,29687,smb3_jungle_night\yrh5IKPiNZs_18_0472.jpg,smb3,jungle,night,False,1.0
34206,34206,smw_underground_day\jI023XwCR04_3_0024.jpg,smw,underground,day,False,1.0
22209,22209,nsmb_underground_day\yrh5IKPiNZs_10_0047.jpg,nsmb,underground,day,True,1.9353866006943483
32676,32676,sm3dw_castle_day\asAgPrbyePY_2_0158.jpg,sm3dw,castle,day,False,1.0
31703,31703,menu\QmVPmh10FVE_10_0152.jpg,menu,,,False,1.0
19825,19825,smb1_grass_night\sibl3_fJTds_0_0073.jpg,smb1,grass,night,True,0.7662255921126964
32114,32114,nsmb_grass_day\sibl3_fJTds_11_0013.jpg,nsmb,grass,day,False,1.0
21888,21888,menu\Xtg_BIX3E78_10_0083.jpg,menu,,,True,1.3228280864947417
19958,19958,smw_desert_day\8y54Wlsyte8_2_0044.jpg,smw,desert,day,True,0.380906124352441
1746,1746,menu\asAgPrbyePY_9_0217.jpg,menu,,,True,1.3228280864947417
29481,29481,smb3_jungle_night\yrh5IKPiNZs_18_0266.jpg,smb3,jungle,night,False,1.0
22850,22850,smb1_jungle_night\f6ouZR_ORgo_1_0090.jpg,smb1,jungle,night,True,1.234426573989902
27394,27394,menu\uSdL2GGk7cY_4_0270.jpg,menu,,,True,1.3228280864947417
27465,27465,nsmb_desert_day\h082aQwtlR4_2_0063.jpg,nsmb,desert,day,True,0.8662893570986944
14902,14902,smb1_ice_night\zXXtMhjoOCU_5_0526.jpg,smb1,ice,night,True,0.8370604270092479
34987,34987,menu\jI023XwCR04_0_0108.jpg,menu,,,False,1.0
19039,19039,menu\ZtVdrcXYDzQ_2_0087.jpg,menu,,,True,1.3228280864947417
32254,32254,nsmb_grass_day\sibl3_fJTds_14_0133.jpg,nsmb,grass,day,False,1.0
6549,6549,smb3_jungle_night\h082aQwtlR4_5_0419.jpg,smb3,jungle,night,True,1.181297693812866
4976,4976,sm3dw_grass_day\h082aQwtlR4_11_0027.jpg,sm3dw,grass,day,True,0.4352893275588893
2756,2756,smb3_underwater_day\-mXxAMAA6-Y_15_0008.jpg,smb3,underwater,day,True,0.7095859521467321
871,871,nsmb_airship_night\sibl3_fJTds_23_0239.jpg,nsmb,airship,night,True,1.4151789353834578
31935,31935,smw_grass_night\YuVG3cVdCEA_5_0094.jpg,smw,grass,night,False,1.0
29596,29596,smb3_jungle_night\yrh5IKPiNZs_18_0381.jpg,smb3,jungle,night,False,1.0
20670,20670,sm3dw_underground_day\8y54Wlsyte8_14_0067.jpg,sm3dw,underground,day,True,0.6813971040761194
442,442,sm3dw_castle_day\0ZI1hJ2Kalo_12_0008.jpg,sm3dw,castle,day,True,0.5803039795246749
21803,21803,smw_ghosthouse_day\6kj1CljrOSs_6_0062.jpg,smw,ghosthouse,day,True,1.033625388126133
2174,2174,nsmb_airship_night\sibl3_fJTds_25_0164.jpg,nsmb,airship,night,True,1.4151789353834578
17560,17560,nsmb_grass_day\sibl3_fJTds_7_0042.jpg,nsmb,grass,day,True,1.2363614798818052
26026,26026,nsmb_ice_night\zXXtMhjoOCU_0_0008.jpg,nsmb,ice,night,True,0.9441021606792226
26013,26013,nsmb_sky_day\bCG_Ex7g9nE_3_0067.jpg,nsmb,sky,day,True,1.4119889279822648
25531,25531,sm3dw_ice_day\Ejn1M5ai_iI_8_0027.jpg,sm3dw,ice,day,True,0.47553028005024095
820,820,nsmb_airship_night\sibl3_fJTds_23_0188.jpg,nsmb,airship,night,True,1.4151789353834578
23429,23429,smb3_airship_night\bCG_Ex7g9nE_10_0038.jpg,smb3,airship,night,True,1.2007242129203555
2767,2767,smb3_underwater_day\-mXxAMAA6-Y_15_0019.jpg,smb3,underwater,day,True,0.7095859521467321
6230,6230,smb3_jungle_night\h082aQwtlR4_5_0100.jpg,smb3,jungle,night,True,1.181297693812866
25939,25939,menu\zXXtMhjoOCU_6_0323.jpg,menu,,,True,1.3228280864947417
13725,13725,menu\0ZI1hJ2Kalo_5_0094.jpg,menu,,,True,1.3228280864947417
20541,20541,sm3dw_sky_day\QmVPmh10FVE_7_0048.jpg,sm3dw,sky,day,True,0.4971229862651126
13340,13340,nsmb_ghosthouse_night\zXXtMhjoOCU_1_0075.jpg,nsmb,ghosthouse,night,True,1.6431664540614124
14872,14872,smb1_ice_night\zXXtMhjoOCU_5_0496.jpg,smb1,ice,night,True,0.8370604270092479
35204,35204,smb3_desert_night\-mXxAMAA6-Y_8_0164.jpg,smb3,desert,night,False,1.0
29158,29158,nsmb_sky_day\yrh5IKPiNZs_3_0013.jpg,nsmb,sky,day,False,1.0
20587,20587,sm3dw_sky_day\QmVPmh10FVE_7_0094.jpg,sm3dw,sky,day,True,0.4971229862651126
32951,32951,smb1_grass_day\ZtVdrcXYDzQ_5_0051.jpg,smb1,grass,day,False,1.0
18735,18735,smb1_grass_night\bCG_Ex7g9nE_5_0064.jpg,smb1,grass,night,True,0.7662255921126964
17475,17475,smw_airship_day\-mXxAMAA6-Y_6_0025.jpg,smw,airship,day,True,0.8902110146772654
2975,2975,nsmb_sky_day\Ejn1M5ai_iI_0_0077.jpg,nsmb,sky,day,True,1.4119889279822648
36036,36036,smb3_desert_night\-mXxAMAA6-Y_8_0996.jpg,smb3,desert,night,False,1.0
23922,23922,smb3_airship_night\bCG_Ex7g9nE_10_0531.jpg,smb3,airship,night,True,1.2007242129203555
28922,28922,sm3dw_ice_day\uSdL2GGk7cY_2_0112.jpg,sm3dw,ice,day,False,1.0
13408,13408,nsmb_ghosthouse_night\zXXtMhjoOCU_1_0143.jpg,nsmb,ghosthouse,night,True,1.6431664540614124
30341,30341,nsmb_ice_day\h082aQwtlR4_10_0016.jpg,nsmb,ice,day,False,1.0
28427,28427,menu\jI023XwCR04_16_0123.jpg,menu,,,True,1.3228280864947417
25970,25970,nsmb_sky_day\bCG_Ex7g9nE_3_0024.jpg,nsmb,sky,day,True,1.4119889279822648
23761,23761,smb3_airship_night\bCG_Ex7g9nE_10_0370.jpg,smb3,airship,night,True,1.2007242129203555
11800,11800,sm3dw_desert_day\0ZI1hJ2Kalo_8_0057.jpg,sm3dw,desert,day,True,0.3049969752850617
33469,33469,smw_airship_day\0ZI1hJ2Kalo_10_0033.jpg,smw,airship,day,False,1.0
12444,12444,sm3dw_underground_day\uSdL2GGk7cY_1_0030.jpg,sm3dw,underground,day,True,0.6813971040761194
1567,1567,menu\asAgPrbyePY_9_0038.jpg,menu,,,True,1.3228280864947417
26921,26921,smb1_underground_day\jI023XwCR04_1_0096.jpg,smb1,underground,day,True,1.7159536349749198
21061,21061,nsmb_ice_night\zXXtMhjoOCU_2_0052.jpg,nsmb,ice,night,True,0.9441021606792226
26983,26983,smw_grass_night\Xtg_BIX3E78_4_0006.jpg,smw,grass,night,True,0.379991437817136
7102,7102,smb3_jungle_night\h082aQwtlR4_5_0972.jpg,smb3,jungle,night,True,1.181297693812866
26002,26002,nsmb_sky_day\bCG_Ex7g9nE_3_0056.jpg,nsmb,sky,day,True,1.4119889279822648
26194,26194,nsmb_ice_night\zXXtMhjoOCU_0_0176.jpg,nsmb,ice,night,True,0.9441021606792226
20725,20725,sm3dw_underground_day\8y54Wlsyte8_14_0122.jpg,sm3dw,underground,day,True,0.6813971040761194
34094,34094,menu\asAgPrbyePY_4_0107.jpg,menu,,,False,1.0
13161,13161,smb1_grass_night\sibl3_fJTds_2_0111.jpg,smb1,grass,night,True,0.7662255921126964
6037,6037,smb1_underground_day\f6ouZR_ORgo_4_0058.jpg,smb1,underground,day,True,1.7159536349749198
4524,4524,smb1_sky_day\0ZI1hJ2Kalo_0_0130.jpg,smb1,sky,day,True,1.2518984747782453
6502,6502,smb3_jungle_night\h082aQwtlR4_5_0372.jpg,smb3,jungle,night,True,1.181297693812866
20769,20769,smw_castle_day\QmVPmh10FVE_6_0001.jpg,smw,castle,day,True,0.7247328914670338
1893,1893,nsmb_desert_day\sibl3_fJTds_27_0029.jpg,nsmb,desert,day,True,0.8662893570986944
15292,15292,smb1_underwater_day\ZtVdrcXYDzQ_12_0256.jpg,smb1,underwater,day,True,0.7414995901944197
33749,33749,sm3dw_ice_day\0ZI1hJ2Kalo_1_0052.jpg,sm3dw,ice,day,False,1.0
21091,21091,nsmb_ice_night\zXXtMhjoOCU_2_0082.jpg,nsmb,ice,night,True,0.9441021606792226
5321,5321,smb3_sky_day\Xtg_BIX3E78_7_0150.jpg,smb3,sky,day,True,1.1980176158743994
34192,34192,smw_underground_day\jI023XwCR04_3_0010.jpg,smw,underground,day,False,1.0
10435,10435,menu\asAgPrbyePY_11_0116.jpg,menu,,,True,1.3228280864947417
2331,2331,nsmb_airship_night\sibl3_fJTds_25_0321.jpg,nsmb,airship,night,True,1.4151789353834578
9944,9944,sm3dw_underground_day\sibl3_fJTds_9_0042.jpg,sm3dw,underground,day,True,0.6813971040761194
16705,16705,nsmb_airship_night\jI023XwCR04_12_0325.jpg,nsmb,airship,night,True,1.4151789353834578
33238,33238,sm3dw_jungle_day\asAgPrbyePY_5_0036.jpg,sm3dw,jungle,day,False,1.0
30206,30206,nsmb_jungle_night\sibl3_fJTds_21_0331.jpg,nsmb,jungle,night,False,1.0
9213,9213,sm3dw_castle_day\YuVG3cVdCEA_3_0009.jpg,sm3dw,castle,day,True,0.5803039795246749
33867,33867,smb1_grass_night\sibl3_fJTds_4_0030.jpg,smb1,grass,night,False,1.0
20532,20532,sm3dw_sky_day\QmVPmh10FVE_7_0039.jpg,sm3dw,sky,day,True,0.4971229862651126
17441,17441,smw_grass_day\asAgPrbyePY_13_0009.jpg,smw,grass,day,True,0.5436262788425023
16848,16848,smw_sky_day\6kj1CljrOSs_9_0018.jpg,smw,sky,day,True,0.6208494030072771
3062,3062,sm3dw_grass_day\asAgPrbyePY_7_0004.jpg,sm3dw,grass,day,True,0.4352893275588893
3921,3921,nsmb_underground_night\yrh5IKPiNZs_12_0178.jpg,nsmb,underground,night,True,1.3528233747194023
20562,20562,sm3dw_sky_day\QmVPmh10FVE_7_0069.jpg,sm3dw,sky,day,True,0.4971229862651126
15378,15378,smb1_underwater_day\ZtVdrcXYDzQ_12_0342.jpg,smb1,underwater,day,True,0.7414995901944197
20079,20079,sm3dw_desert_day\bCG_Ex7g9nE_0_0048.jpg,sm3dw,desert,day,True,0.3049969752850617
22897,22897,smb1_jungle_night\f6ouZR_ORgo_1_0137.jpg,smb1,jungle,night,True,1.234426573989902
7529,7529,smw_castle_day\YuVG3cVdCEA_10_0024.jpg,smw,castle,day,True,0.7247328914670338
29051,29051,smb1_underground_day\h082aQwtlR4_8_0002.jpg,smb1,underground,day,False,1.0
16832,16832,smw_sky_day\6kj1CljrOSs_9_0002.jpg,smw,sky,day,True,0.6208494030072771
26869,26869,smb1_underground_day\jI023XwCR04_1_0044.jpg,smb1,underground,day,True,1.7159536349749198
10374,10374,menu\asAgPrbyePY_11_0055.jpg,menu,,,True,1.3228280864947417
12370,12370,smb1_desert_day\zXXtMhjoOCU_12_0051.jpg,smb1,desert,day,True,0.7680699921763864
7807,7807,menu\bCG_Ex7g9nE_6_0132.jpg,menu,,,True,1.3228280864947417
32897,32897,nsmb_grass_day\8y54Wlsyte8_7_0162.jpg,nsmb,grass,day,False,1.0
7943,7943,menu\bCG_Ex7g9nE_6_0268.jpg,menu,,,True,1.3228280864947417
9708,9708,smb3_desert_day\YuVG3cVdCEA_7_0125.jpg,smb3,desert,day,True,0.7350127820986567
26003,26003,nsmb_sky_day\bCG_Ex7g9nE_3_0057.jpg,nsmb,sky,day,True,1.4119889279822648
586,586,smb3_airship_night\ZtVdrcXYDzQ_10_0107.jpg,smb3,airship,night,True,1.2007242129203555
27485,27485,smb1_sky_day\0ZI1hJ2Kalo_4_0016.jpg,smb1,sky,day,True,1.2518984747782453
662,662,nsmb_airship_night\sibl3_fJTds_23_0030.jpg,nsmb,airship,night,True,1.4151789353834578
9874,9874,smb1_grass_day\bCG_Ex7g9nE_7_0002.jpg,smb1,grass,day,True,1.096183560837417
36155,36155,smb3_desert_night\-mXxAMAA6-Y_8_1115.jpg,smb3,desert,night,False,1.0
12610,12610,smw_sky_day\zXXtMhjoOCU_3_0152.jpg,smw,sky,day,True,0.6208494030072771
12566,12566,smw_sky_day\zXXtMhjoOCU_3_0108.jpg,smw,sky,day,True,0.6208494030072771
22582,22582,menu\Ejn1M5ai_iI_10_0182.jpg,menu,,,True,1.3228280864947417
33976,33976,smb1_grass_night\sibl3_fJTds_4_0139.jpg,smb1,grass,night,False,1.0
23973,23973,smb3_castle_day\6kj1CljrOSs_5_0042.jpg,smb3,castle,day,True,1.3984756473558513
7189,7189,smb3_jungle_day\jI023XwCR04_5_0049.jpg,smb3,jungle,day,True,1.6899972093628004
30777,30777,menu\ZtVdrcXYDzQ_4_0031.jpg,menu,,,False,1.0
1706,1706,menu\asAgPrbyePY_9_0177.jpg,menu,,,True,1.3228280864947417
14731,14731,smb1_ice_night\zXXtMhjoOCU_5_0355.jpg,smb1,ice,night,True,0.8370604270092479
13431,13431,nsmb_ghosthouse_night\zXXtMhjoOCU_1_0166.jpg,nsmb,ghosthouse,night,True,1.6431664540614124
16980,16980,smw_jungle_night\8y54Wlsyte8_12_0058.jpg,smw,jungle,night,True,0.6121846275543262
11767,11767,sm3dw_desert_day\0ZI1hJ2Kalo_8_0024.jpg,sm3dw,desert,day,True,0.3049969752850617
2436,2436,nsmb_airship_night\sibl3_fJTds_25_0426.jpg,nsmb,airship,night,True,1.4151789353834578
35569,35569,smb3_desert_night\-mXxAMAA6-Y_8_0529.jpg,smb3,desert,night,False,1.0
22375,22375,sm3dw_grass_day\bCG_Ex7g9nE_4_0003.jpg,sm3dw,grass,day,True,0.4352893275588893
14572,14572,smb1_ice_night\zXXtMhjoOCU_5_0196.jpg,smb1,ice,night,True,0.8370604270092479
31543,31543,smw_grass_night\ZtVdrcXYDzQ_6_0087.jpg,smw,grass,night,False,1.0
27210,27210,menu\uSdL2GGk7cY_4_0086.jpg,menu,,,True,1.3228280864947417
11273,11273,sm3dw_underground_day\YuVG3cVdCEA_9_0030.jpg,sm3dw,underground,day,True,0.6813971040761194
4748,4748,menu\f6ouZR_ORgo_0_0181.jpg,menu,,,True,1.3228280864947417
4133,4133,smw_desert_day\0ZI1hJ2Kalo_7_0047.jpg,smw,desert,day,True,0.380906124352441
5400,5400,smw_airship_day\jI023XwCR04_9_0049.jpg,smw,airship,day,True,0.8902110146772654
7630,7630,menu\8y54Wlsyte8_6_0045.jpg,menu,,,True,1.3228280864947417
4140,4140,smw_desert_day\0ZI1hJ2Kalo_7_0054.jpg,smw,desert,day,True,0.380906124352441
33507,33507,smw_ghosthouse_day\h082aQwtlR4_12_0002.jpg,smw,ghosthouse,day,False,1.0
22388,22388,sm3dw_grass_day\bCG_Ex7g9nE_4_0016.jpg,sm3dw,grass,day,True,0.4352893275588893
20991,20991,sm3dw_grass_day\8y54Wlsyte8_3_0010.jpg,sm3dw,grass,day,True,0.4352893275588893
33651,33651,sm3dw_ghosthouse_day\QmVPmh10FVE_0_0054.jpg,sm3dw,ghosthouse,day,False,1.0
12026,12026,smb1_sky_day\YuVG3cVdCEA_4_0028.jpg,smb1,sky,day,True,1.2518984747782453
10903,10903,menu\jI023XwCR04_21_0210.jpg,menu,,,True,1.3228280864947417
5892,5892,nsmb_underground_night\yrh5IKPiNZs_16_0088.jpg,nsmb,underground,night,True,1.3528233747194023
13815,13815,nsmb_castle_day\sibl3_fJTds_5_0034.jpg,nsmb,castle,day,True,1.648249661736454
8741,8741,smb3_ghosthouse_night\-mXxAMAA6-Y_18_0706.jpg,smb3,ghosthouse,night,True,1.3941627436076967
4654,4654,menu\f6ouZR_ORgo_0_0087.jpg,menu,,,True,1.3228280864947417
20054,20054,sm3dw_desert_day\bCG_Ex7g9nE_0_0023.jpg,sm3dw,desert,day,True,0.3049969752850617
12321,12321,smb1_desert_day\zXXtMhjoOCU_12_0002.jpg,smb1,desert,day,True,0.7680699921763864
16093,16093,smb1_desert_day\jI023XwCR04_17_0007.jpg,smb1,desert,day,True,0.7680699921763864
19841,19841,smb1_grass_night\sibl3_fJTds_0_0089.jpg,smb1,grass,night,True,0.7662255921126964
35174,35174,smb3_desert_night\-mXxAMAA6-Y_8_0134.jpg,smb3,desert,night,False,1.0
34122,34122,menu\asAgPrbyePY_4_0135.jpg,menu,,,False,1.0
35467,35467,smb3_desert_night\-mXxAMAA6-Y_8_0427.jpg,smb3,desert,night,False,1.0
14835,14835,smb1_ice_night\zXXtMhjoOCU_5_0459.jpg,smb1,ice,night,True,0.8370604270092479
31596,31596,menu\QmVPmh10FVE_10_0045.jpg,menu,,,False,1.0
13222,13222,smw_grass_day\asAgPrbyePY_10_0004.jpg,smw,grass,day,True,0.5436262788425023
28957,28957,smw_underground_day\Ejn1M5ai_iI_5_0027.jpg,smw,underground,day,False,1.0
11748,11748,sm3dw_desert_day\0ZI1hJ2Kalo_8_0005.jpg,sm3dw,desert,day,True,0.3049969752850617
32808,32808,nsmb_grass_day\8y54Wlsyte8_7_0073.jpg,nsmb,grass,day,False,1.0
6023,6023,smb1_underground_day\f6ouZR_ORgo_4_0044.jpg,smb1,underground,day,True,1.7159536349749198
27833,27833,menu\YuVG3cVdCEA_1_0249.jpg,menu,,,True,1.3228280864947417
13094,13094,smb1_grass_night\sibl3_fJTds_2_0044.jpg,smb1,grass,night,True,0.7662255921126964
35771,35771,smb3_desert_night\-mXxAMAA6-Y_8_0731.jpg,smb3,desert,night,False,1.0
4249,4249,sm3dw_ghosthouse_day\asAgPrbyePY_1_0107.jpg,sm3dw,ghosthouse,day,True,0.8276386143495679
14997,14997,smb1_ice_night\zXXtMhjoOCU_5_0621.jpg,smb1,ice,night,True,0.8370604270092479
10263,10263,nsmb_grass_day\QmVPmh10FVE_3_0009.jpg,nsmb,grass,day,True,1.2363614798818052
18752,18752,smb1_grass_night\bCG_Ex7g9nE_5_0081.jpg,smb1,grass,night,True,0.7662255921126964
10094,10094,nsmb_castle_night\zXXtMhjoOCU_13_0004.jpg,nsmb,castle,night,True,1.1521164138319717
35293,35293,smb3_desert_night\-mXxAMAA6-Y_8_0253.jpg,smb3,desert,night,False,1.0
15562,15562,smb1_underwater_day\ZtVdrcXYDzQ_12_0526.jpg,smb1,underwater,day,True,0.7414995901944197
13523,13523,nsmb_ghosthouse_night\zXXtMhjoOCU_1_0258.jpg,nsmb,ghosthouse,night,True,1.6431664540614124
14456,14456,smb1_ice_night\zXXtMhjoOCU_5_0080.jpg,smb1,ice,night,True,0.8370604270092479
36026,36026,smb3_desert_night\-mXxAMAA6-Y_8_0986.jpg,smb3,desert,night,False,1.0
18678,18678,smb1_grass_night\bCG_Ex7g9nE_5_0007.jpg,smb1,grass,night,True,0.7662255921126964
31176,31176,nsmb_castle_day\yrh5IKPiNZs_2_0140.jpg,nsmb,castle,day,False,1.0
21303,21303,menu\ZtVdrcXYDzQ_0_0097.jpg,menu,,,True,1.3228280864947417
29667,29667,smb3_jungle_night\yrh5IKPiNZs_18_0452.jpg,smb3,jungle,night,False,1.0
31502,31502,smw_grass_night\ZtVdrcXYDzQ_6_0046.jpg,smw,grass,night,False,1.0
32352,32352,nsmb_grass_day\sibl3_fJTds_14_0231.jpg,nsmb,grass,day,False,1.0
6880,6880,smb3_jungle_night\h082aQwtlR4_5_0750.jpg,smb3,jungle,night,True,1.181297693812866
16746,16746,nsmb_airship_night\jI023XwCR04_12_0366.jpg,nsmb,airship,night,True,1.4151789353834578
19302,19302,menu\ZtVdrcXYDzQ_2_0350.jpg,menu,,,True,1.3228280864947417
1385,1385,nsmb_castle_day\ZtVdrcXYDzQ_14_0006.jpg,nsmb,castle,day,True,1.648249661736454
21005,21005,sm3dw_grass_day\8y54Wlsyte8_3_0024.jpg,sm3dw,grass,day,True,0.4352893275588893
12571,12571,smw_sky_day\zXXtMhjoOCU_3_0113.jpg,smw,sky,day,True,0.6208494030072771
2751,2751,smb3_underwater_day\-mXxAMAA6-Y_15_0003.jpg,smb3,underwater,day,True,0.7095859521467321
5535,5535,smw_ice_day\sibl3_fJTds_13_0068.jpg,smw,ice,day,True,0.5938825977433875
18714,18714,smb1_grass_night\bCG_Ex7g9nE_5_0043.jpg,smb1,grass,night,True,0.7662255921126964
3520,3520,menu\jI023XwCR04_21_0236.jpg,menu,,,True,1.3228280864947417
34035,34035,menu\asAgPrbyePY_4_0048.jpg,menu,,,False,1.0
29694,29694,smb3_jungle_night\yrh5IKPiNZs_18_0479.jpg,smb3,jungle,night,False,1.0
17727,17727,smb3_castle_day\bCG_Ex7g9nE_12_0053.jpg,smb3,castle,day,True,1.3984756473558513
12912,12912,nsmb_sky_day\Xtg_BIX3E78_0_0012.jpg,nsmb,sky,day,True,1.4119889279822648
5416,5416,smw_airship_day\jI023XwCR04_9_0065.jpg,smw,airship,day,True,0.8902110146772654
2659,2659,smw_ice_day\sibl3_fJTds_17_0067.jpg,smw,ice,day,True,0.5938825977433875
31043,31043,nsmb_castle_day\yrh5IKPiNZs_2_0007.jpg,nsmb,castle,day,False,1.0
19813,19813,smb1_grass_night\sibl3_fJTds_0_0061.jpg,smb1,grass,night,True,0.7662255921126964
2750,2750,smb3_underwater_day\-mXxAMAA6-Y_15_0002.jpg,smb3,underwater,day,True,0.7095859521467321
19936,19936,smw_desert_day\8y54Wlsyte8_2_0022.jpg,smw,desert,day,True,0.380906124352441
533,533,smb3_airship_night\ZtVdrcXYDzQ_10_0054.jpg,smb3,airship,night,True,1.2007242129203555
23767,23767,smb3_airship_night\bCG_Ex7g9nE_10_0376.jpg,smb3,airship,night,True,1.2007242129203555
30423,30423,sm3dw_ghosthouse_day\0ZI1hJ2Kalo_13_0016.jpg,sm3dw,ghosthouse,day,False,1.0
25439,25439,sm3dw_sky_day\sibl3_fJTds_8_0035.jpg,sm3dw,sky,day,True,0.4971229862651126
13149,13149,smb1_grass_night\sibl3_fJTds_2_0099.jpg,smb1,grass,night,True,0.7662255921126964
24122,24122,nsmb_underground_night\yrh5IKPiNZs_15_0086.jpg,nsmb,underground,night,True,1.3528233747194023
34923,34923,menu\jI023XwCR04_0_0044.jpg,menu,,,False,1.0
23122,23122,smb1_jungle_night\f6ouZR_ORgo_1_0362.jpg,smb1,jungle,night,True,1.234426573989902
4085,4085,sm3dw_grass_day\bCG_Ex7g9nE_1_0027.jpg,sm3dw,grass,day,True,0.4352893275588893
22836,22836,smb1_jungle_night\f6ouZR_ORgo_1_0076.jpg,smb1,jungle,night,True,1.234426573989902
3956,3956,nsmb_grass_day\sibl3_fJTds_6_0013.jpg,nsmb,grass,day,True,1.2363614798818052
6194,6194,smb3_jungle_night\h082aQwtlR4_5_0064.jpg,smb3,jungle,night,True,1.181297693812866
2200,2200,nsmb_airship_night\sibl3_fJTds_25_0190.jpg,nsmb,airship,night,True,1.4151789353834578
12521,12521,smw_sky_day\zXXtMhjoOCU_3_0063.jpg,smw,sky,day,True,0.6208494030072771
4938,4938,sm3dw_ice_day\uSdL2GGk7cY_0_0098.jpg,sm3dw,ice,day,True,0.47553028005024095
16163,16163,smb1_desert_day\jI023XwCR04_17_0077.jpg,smb1,desert,day,True,0.7680699921763864
29537,29537,smb3_jungle_night\yrh5IKPiNZs_18_0322.jpg,smb3,jungle,night,False,1.0
19931,19931,smw_desert_day\8y54Wlsyte8_2_0017.jpg,smw,desert,day,True,0.380906124352441
19511,19511,sm3dw_ice_day\h082aQwtlR4_7_0079.jpg,sm3dw,ice,day,True,0.47553028005024095
26674,26674,smb3_jungle_day\-mXxAMAA6-Y_0_0067.jpg,smb3,jungle,day,True,1.6899972093628004
33644,33644,sm3dw_ghosthouse_day\QmVPmh10FVE_0_0047.jpg,sm3dw,ghosthouse,day,False,1.0
17190,17190,sm3dw_castle_day\8y54Wlsyte8_0_0058.jpg,sm3dw,castle,day,True,0.5803039795246749
12198,12198,smw_grass_night\asAgPrbyePY_0_0037.jpg,smw,grass,night,True,0.379991437817136
25448,25448,sm3dw_sky_day\sibl3_fJTds_8_0044.jpg,sm3dw,sky,day,True,0.4971229862651126
7848,7848,menu\bCG_Ex7g9nE_6_0173.jpg,menu,,,True,1.3228280864947417
